code,name,kind,sido,pop,area,dens,e65,ealone,single,flood_r,ls_r,slope,coastal,border,rz_n,rz_per100,shel,shel_per10k
44131,천안시동남구,구,충청남도,263741,438.5,601.5,0.2007,0.1256,0.4484,0.0453,0.0576,14.82,0,0,10,2.28,43,1.63
44133,천안시서북구,구,충청남도,402701,198.3,2030.3,0.131,0.0769,0.4446,0.0462,0.0154,7.4,0,0,7,3.53,87,2.16
44150,공주시,시,충청남도,99619,865.7,115.1,0.3423,0.204,0.5066,0.0055,0.0104,16.73,0,0,18,2.08,24,2.41
44180,보령시,시,충청남도,88778,609.2,145.7,0.3424,0.2216,0.486,0.0,0.0117,11.71,1,0,15,2.46,28,3.15
44200,아산시,시,충청남도,364270,543.7,670.0,0.1628,0.1095,0.4329,0.013,0.0502,9.36,1,0,18,3.31,31,0.85
44210,서산시,시,충청남도,171093,732.3,233.6,0.2464,0.1485,0.4315,0.0,0.0037,7.38,1,0,9,1.23,36,2.1
44230,논산시,시,충청남도,105815,553.6,191.1,0.3458,0.2315,0.4956,0.0086,0.0368,10.66,0,0,17,3.07,26,2.46
44250,계룡시,시,충청남도,45983,60.6,759.0,0.1711,0.1094,0.3275,0.0065,0.0588,17.15,0,0,5,8.25,14,3.04
44270,당진시,시,충청남도,172472,710.2,242.9,0.2339,0.1499,0.4646,0.0039,0.0,6.32,1,0,19,2.68,43,2.49
44710,금산군,군,충청남도,48847,578.6,84.4,0.3941,0.2595,0.5066,0.0049,0.0724,19.81,0,0,16,2.77,14,2.87
44760,부여군,군,충청남도,57687,626.4,92.1,0.4454,0.278,0.4926,0.0008,0.0391,11.44,0,0,23,3.67,23,3.99
44770,서천군,군,충청남도,46635,371.4,125.6,0.4501,0.2864,0.5011,0.0037,0.005,8.62,1,0,9,2.42,19,4.07
44790,청양군,군,충청남도,30032,481.5,62.4,0.4331,0.2546,0.5221,0.0368,0.0155,15.62,0,0,18,3.74,14,4.66
44800,홍성군,군,충청남도,101743,453.8,224.2,0.2883,0.1826,0.449,0.0061,0.0091,9.29,1,0,6,1.32,15,1.47
44810,예산군,군,충청남도,78168,543.2,143.9,0.3759,0.2258,0.4597,0.0034,0.0981,11.0,0,0,26,4.79,34,4.35
44825,태안군,군,충청남도,59005,576.0,102.4,0.4084,0.249,0.5133,0.0,0.0,6.62,1,0,7,1.22,13,2.2
47111,포항시남구,구,경상북도,211509,395.1,535.3,0.26,0.1649,0.459,0.0179,0.0765,13.78,1,0,22,5.57,51,2.41
47113,포항시북구,구,경상북도,274894,738.4,372.3,0.2399,0.1547,0.3949,0.0133,0.0365,18.54,1,0,4,0.54,65,2.36
47130,경주시,시,경상북도,242880,1326.6,183.1,0.2986,0.1998,0.469,0.0453,0.0174,16.29,1,0,25,1.88,55,2.26
47150,김천시,시,경상북도,132550,1007.6,131.6,0.3009,0.1984,0.4748,0.016,0.0223,18.11,0,0,20,1.98,42,3.17
